trials 45
trial	gap1	gap2	gap3	gap4	gap5	velocity(kph)	startPos	popUps
p1	0	0	0	0	0	0	A	startpractice
p2	10	8	6	4	2	30	A	none
p3	2	4	6	8	10	30	A	none
1	10	4	2	6	8	30	A	starttrials
2	8	2	10	4	6	30	A	none
3	6	8	10	2	4	30	A	none
4	4	2	8	10	6	30	A	none
5	2	10	8	4	6	30	A	none
6	8	10	2	6	4	30	A	none
7	10	2	6	8	4	30	A	none
8	6	10	8	4	2	30	A	none
9	4	8	2	6	10	30	A	none
10	2	8	10	6	4	30	A	none
11	8	4	6	2	10	30	A	none
12	6	2	4	8	10	30	A	none
13	10	6	4	2	8	30	A	none
14	4	10	6	2	8	30	A	none
15	2	6	4	10	8	30	A	none
16	8	6	4	10	2	30	A	none
17	6	4	2	10	8	30	A	none
18	4	6	10	8	2	30	A	none
19	10	8	2	4	6	30	A	none
20	2	4	6	8	10	30	A	none
p4	10	8	6	4	2	30	B	startpractice
p5	2	4	6	8	10	30	B	none
21	10	4	2	6	8	30	B	starttrials
22	8	2	10	4	6	30	B	none
23	6	8	10	2	4	30	B	none
24	4	2	8	10	6	30	B	none
25	2	10	8	4	6	30	B	none
26	8	10	2	6	4	30	B	none
27	10	2	6	8	4	30	B	none
28	6	10	8	4	2	30	B	none
29	4	8	2	6	10	30	B	none
30	2	8	10	6	4	30	B	none
31	8	4	6	2	10	30	B	none
32	6	2	4	8	10	30	B	none
33	10	6	4	2	8	30	B	none
34	4	10	6	2	8	30	B	none
35	2	6	4	10	8	30	B	none
36	8	6	4	10	2	30	B	none
37	6	4	2	10	8	30	B	none
38	4	6	10	8	2	30	B	none
39	10	8	2	4	6	30	B	none
40	2	4	6	8	10	30	B	none
